fips2010,fmr0_17,fmr1_17,fmr2_17,fmr3_17,fmr4_17,fmr_0_22,fmr_1_22,fmr_2_22,fmr_3_22,fmr_4_22,metro_code,metro
4812199999,689,837,1031,1390,1774,1076,1150,1362,1736,2280,METRO19100M19100,1
4812399999,552,556,687,969,1089,651,761,880,1157,1268,NCNTY48123N48123,0
4812599999,518,567,681,899,1079,560,600,757,998,1105,NCNTY48125N48125,0
4812799999,528,547,693,867,1098,580,596,784,1034,1145,NCNTY48127N48127,0
4812999999,509,512,681,919,1079,560,575,757,1014,1105,NCNTY48129N48129,0
4813199999,598,621,786,983,1246,560,600,757,1060,1064,NCNTY48131N48131,0
4813399999,463,512,681,852,939,503,664,757,936,1027,NCNTY48133N48133,0
4813599999,834,1066,1315,1645,2125,884,934,1229,1519,1771,METRO36220M36220,1
4813799999,518,538,681,899,1079,608,652,822,1084,1200,NCNTY48137N48137,0
4813999999,689,837,1031,1390,1774,1076,1150,1362,1736,2280,METRO19100M19100,1
4814199999,546,685,834,1203,1435,558,701,840,1174,1438,METRO21340M21340,1
4814399999,651,655,804,1034,1108,717,722,875,1182,1187,NCNTY48143N48143,0
4814599999,504,512,681,863,1118,556,633,757,1075,1296,METRO47380N48145,1
4814799999,440,522,694,975,1131,607,623,820,1165,1235,NCNTY48147N48147,0
4814999999,531,534,710,1034,1125,624,641,843,1139,1143,NCNTY48149N48149,0
4815199999,518,538,681,893,1079,560,600,757,1021,1105,NCNTY48151N48151,0
4815399999,518,590,681,937,1115,609,625,823,1017,1202,NCNTY48153N48153,0
4815599999,518,538,681,991,1079,608,652,822,1084,1200,NCNTY48155N48155,0
4815799999,701,797,976,1333,1690,944,1014,1208,1603,2058,METRO26420M26420,1
4815999999,518,538,681,859,1200,639,661,864,1094,1314,NCNTY48159N48159,0
4816199999,518,553,681,991,1079,560,575,757,1024,1144,NCNTY48161N48161,0
4816399999,510,513,682,930,1081,636,754,859,1153,1254,NCNTY48163N48163,0
4816599999,518,538,681,991,1200,560,600,757,1054,1105,NCNTY48165N48165,0
4816799999,701,797,976,1333,1690,944,1014,1208,1603,2058,METRO26420M26420,1
4816999999,518,538,681,991,1079,588,630,795,984,1224,NCNTY48169N48169,0
4817199999,730,735,975,1282,1545,760,765,1007,1430,1559,NCNTY48171N48171,0
4817399999,563,584,739,975,1171,608,652,822,1084,1200,NCNTY48173N48173,0
4817599999,734,742,918,1245,1310,788,861,1068,1367,1563,METRO47020M47020,1
4817799999,511,515,684,872,1084,641,662,789,1121,1152,NCNTY48177N48177,0
4817999999,621,639,752,943,1192,574,654,861,1067,1168,NCNTY48179N48179,0
4818199999,508,625,795,1085,1217,661,830,985,1316,1570,METRO43300M43300,1
4818399999,653,720,855,1090,1377,687,786,924,1276,1467,METRO30980M30980,1
4818599999,514,518,688,947,948,603,619,815,1007,1105,NCNTY48185N48185,0
4818799999,623,768,964,1273,1529,815,961,1165,1500,1849,METRO41700M41700,1
4818999999,442,560,681,962,1079,560,660,757,1075,1296,NCNTY48189N48189,0
4819199999,434,557,681,991,1079,560,576,757,1003,1105,NCNTY48191N48191,0
4819399999,535,539,716,909,1166,576,683,778,962,1055,NCNTY48193N48193,0
4819599999,544,565,715,894,1133,662,703,895,1106,1307,NCNTY48195N48195,0
4819799999,528,532,707,933,1120,560,575,757,1022,1105,NCNTY48197N48197,0
4819999999,539,685,832,1071,1171,747,798,982,1281,1332,METRO13140M13140,1
4820199999,701,797,976,1333,1690,944,1014,1208,1603,2058,METRO26420M26420,1
4820399999,613,676,805,1070,1189,630,712,899,1112,1219,METRO30980M48203,1
4820599999,616,701,809,1031,1282,717,768,969,1309,1314,NCNTY48205N48205,0
4820799999,518,538,681,852,1079,560,664,757,1075,1105,NCNTY48207N48207,0
4820999999,799,968,1195,1619,1948,1092,1236,1451,1867,2194,METRO12420M12420,1
4821199999,518,590,681,934,1200,735,755,993,1227,1450,NCNTY48211N48211,0
4821399999,524,562,707,941,1089,628,632,832,1082,1201,NCNTY48213N48213,0
4821599999,562,566,734,918,1092,633,637,817,1062,1176,METRO32580M32580,1
4821799999,498,591,785,982,1136,538,635,810,1070,1098,NCNTY48217N48217,0
4821999999,605,609,809,1012,1282,560,664,757,1075,1296,NCNTY48219N48219,0
4822199999,596,663,881,1195,1552,833,881,1046,1293,1527,NCNTY48221N48221,0
4822399999,589,593,777,972,1289,556,652,837,1189,1275,NCNTY48223N48223,0
4822599999,468,555,737,952,1016,563,578,761,941,1032,NCNTY48225N48225,0
4822799999,649,666,853,1067,1212,675,851,1006,1244,1587,NCNTY48227N48227,0
4822999999,563,734,888,1111,1528,503,631,757,936,1296,METRO21340N48229,1
4823199999,689,837,1031,1390,1774,1076,1150,1362,1736,2280,METRO19100M19100,1
4823399999,575,579,769,975,1355,637,654,861,1095,1267,NCNTY48233N48233,0
4823599999,618,758,974,1378,1539,659,790,992,1314,1629,METRO41660M41660,1
4823799999,691,717,908,1136,1252,560,600,757,1075,1296,NCNTY48237N48237,0
4823999999,608,631,798,1117,1300,635,753,858,1219,1253,NCNTY48239N48239,0
4824199999,577,581,772,966,1064,655,660,868,1173,1177,NCNTY48241N48241,0
4824399999,816,847,1072,1415,1478,608,652,822,1084,1200,NCNTY48243N48243,0
4824599999,539,685,832,1071,1171,747,798,982,1281,1332,METRO13140M13140,1
4824799999,518,556,681,898,1079,560,600,757,1075,1105,NCNTY48247N48247,0
4824999999,617,621,826,1033,1139,675,693,912,1127,1281,NCNTY48249N48249,0
4825199999,671,770,973,1338,1702,939,1064,1269,1685,2098,METRO19100MM2800,1
4825399999,566,617,820,1026,1366,637,674,870,1186,1476,METRO10180M10180,1
4825599999,514,518,688,992,1144,559,633,799,1084,1167,NCNTY48255N48255,0
4825799999,689,837,1031,1390,1774,1076,1150,1362,1736,2280,METRO19100M19100,1
4825999999,715,906,1106,1508,1949,902,1087,1358,1679,2130,METRO41700N48259,1
4826199999,644,668,846,1117,1341,608,652,822,1084,1200,NCNTY48261N48261,0
4826399999,518,538,681,899,1079,608,652,822,1084,1200,NCNTY48263N48263,0
4826599999,673,755,871,1133,1201,670,766,906,1253,1338,NCNTY48265N48265,0
4826799999,567,588,745,932,1181,586,676,792,979,1156,NCNTY48267N48267,0
4826999999,764,793,1004,1256,1591,608,652,822,1084,1200,NCNTY48269N48269,0
4827199999,566,570,757,951,1200,644,690,871,1077,1272,NCNTY48271N48271,0
4827399999,589,593,776,1130,1367,656,743,977,1249,1427,NCNTY48273N48273,0
4827599999,518,538,681,899,1079,560,600,757,936,1105,NCNTY48275N48275,0
4827799999,589,616,713,1000,1256,555,621,801,1081,1371,NCNTY48277N48277,0
4827999999,518,522,681,869,983,560,575,757,969,1027,NCNTY48279N48279,0
4828199999,539,543,681,991,1175,601,605,796,1083,1087,METRO28660N48281,1
4828399999,574,596,754,1098,1195,560,664,757,1075,1105,NCNTY48283N48283,0
4828599999,433,513,682,980,1081,616,642,833,1080,1216,NCNTY48285N48285,0
4828799999,611,634,802,1167,1271,729,828,985,1218,1438,NCNTY48287N48287,0
4828999999,509,512,681,874,1088,576,591,778,1003,1055,NCNTY48289N48289,0
4829199999,701,797,976,1333,1690,944,1014,1208,1603,2058,METRO26420M26420,1
4829399999,531,630,837,1047,1326,545,623,820,1014,1138,NCNTY48293N48293,0
4829599999,524,596,688,861,948,593,636,802,1003,1171,NCNTY48295N48295,0
4829799999,535,538,681,991,1079,578,594,781,1109,1140,NCNTY48297N48297,0
4829999999,582,623,765,1040,1212,718,737,970,1199,1449,NCNTY48299N48299,0
4830199999,563,584,739,975,1171,608,652,822,1084,1200,NCNTY48301N48301,0
4830399999,545,636,789,1149,1390,670,773,951,1348,1618,METRO31180M31180,1
4830599999,483,572,700,961,965,534,616,757,1075,1284,METRO31180N48305,1
4830799999,518,538,681,899,1079,658,676,890,1100,1299,NCNTY48307N48307,0
4830999999,517,617,811,1108,1345,673,716,915,1215,1300,METRO47380M47380,1
4831199999,563,584,739,975,1171,608,652,822,1084,1200,NCNTY48311N48311,0
